customer_id,customer_name,email,registration_date,customer_type
CUST0001,Allison Hill,donaldgarcia@example.net,2023-02-08,PREMIUM
CUST0002,Angie Henderson,davisjesse@example.net,2023-08-05,PREMIUM
CUST0003,Cristian Santos,lrobinson@example.com,2025-04-27,REGULAR
CUST0004,Abigail Shaffer,jpeterson@example.org,2023-02-16,REGULAR
CUST0005,Gabrielle Davis,howardmaurice@example.com,2025-07-24,REGULAR
CUST0006,Monica Herrera,smiller@example.net,2025-10-06,PREMIUM
CUST0007,Shannon Ray,williamsjeremy@example.com,2024-11-28,REGULAR
CUST0008,Dr. Sharon James,xreid@example.org,2023-01-11,PREMIUM
CUST0009,Daniel Adams,lynchgeorge@example.net,2024-10-18,REGULAR
CUST0010,Joel Nelson,gabriellecameron@example.org,2026-04-01,REGULAR
CUST0011,Andrew Stewart,carl95@example.org,2023-05-31,REGULAR
CUST0012,Jennifer Rocha,ithomas@example.org,2024-02-15,PREMIUM
CUST0013,Kimberly Burgess,zhurst@example.com,2025-04-13,REGULAR
CUST0014,Zachary Hicks,camposmichelle@example.org,2023-05-03,REGULAR
CUST0015,Rebecca Henderson,cruzcaitlin@example.com,2025-08-18,PREMIUM
CUST0016,Tricia Valencia,frazierdanny@example.net,2023-10-26,PREMIUM
CUST0017,Patricia Peterson,ryan70@example.net,2023-12-21,PREMIUM
CUST0018,Deborah Mason,williamrodriguez@example.net,2023-12-28,PREMIUM
CUST0019,Mark Lynch,nathanielmartin@example.net,2024-12-05,REGULAR
CUST0020,Linda Burns,hickmannatasha@example.com,2024-07-29,REGULAR
CUST0021,David Bradley,millertodd@example.org,2025-12-26,PREMIUM
CUST0022,Kim Martinez,karroyo@example.com,2025-08-04,REGULAR
CUST0023,Lisa Brandt,jenniferross@example.net,2024-01-16,REGULAR
CUST0024,Jessica Holmes,wrightcaleb@example.org,2025-09-21,REGULAR
CUST0025,Crystal Robinson,zimmermanbrian@example.org,2024-05-18,PREMIUM
CUST0026,Shannon Jones,joshuawashington@example.net,2023-12-22,PREMIUM
CUST0027,Timothy Duncan,esanchez@example.com,2024-09-15,REGULAR
CUST0028,Brent Jordan,ujenkins@example.org,2025-05-31,PREMIUM
CUST0029,Victoria Garcia,zchandler@example.org,2025-10-15,REGULAR
CUST0030,Connor West,dwhite@example.org,2025-09-25,REGULAR
CUST0031,Angela Morton,williamsyvette@example.org,2024-01-19,PREMIUM
CUST0032,Tammy Allison,richardolson@example.com,2026-03-06,REGULAR
CUST0033,Carmen Smith,ybaker@example.com,2024-09-12,REGULAR
CUST0034,Michael Cross,smoore@example.org,2023-08-03,REGULAR
CUST0035,Lauren Daniels,brian97@example.net,2023-03-15,PREMIUM
CUST0036,Kim Brown,yorkcasey@example.org,2023-09-06,PREMIUM
CUST0037,Cynthia Wilson,bethwilliams@example.org,2023-04-09,REGULAR
CUST0038,Kevin Mills,james53@example.com,2024-12-28,REGULAR
CUST0039,Michael Evans,sarah10@example.com,2023-01-18,REGULAR
CUST0040,Kristine Garcia,williamanderson@example.com,2025-04-14,PREMIUM
CUST0041,Sherry Wood,samueldaniels@example.com,2024-06-12,REGULAR
CUST0042,Victoria Valdez,contrerasangela@example.net,2024-12-05,REGULAR
CUST0043,Shawn Baker,newtoneric@example.com,2026-01-22,REGULAR
CUST0044,Michelle Harris,william40@example.org,2023-10-05,REGULAR
CUST0045,Sandra Williams,kellie42@example.net,2025-08-29,REGULAR
CUST0046,Michael Hoffman,jonesnicole@example.org,2025-08-04,REGULAR
CUST0047,Sandra Aguilar,russellwilliams@example.com,2023-09-08,REGULAR
CUST0048,Rebecca Valencia,jason31@example.com,2025-04-03,PREMIUM
CUST0049,Stacey Russell,sarayoung@example.org,2025-01-29,REGULAR
CUST0050,Rita Keith,whitesandra@example.com,2026-07-15,PREMIUM
CUST0051,Sharon Cochran,erik16@example.org,2024-01-10,PREMIUM
CUST0052,Courtney Velasquez,ybailey@example.org,2023-05-14,PREMIUM
CUST0053,Matthew Ross,michelle45@example.net,2026-03-27,REGULAR
CUST0054,Meghan Anthony,sheila14@example.org,2025-10-21,REGULAR
CUST0055,Victoria Johnson,yreed@example.com,2024-02-16,REGULAR
CUST0056,William Wilson,jonathanfletcher@example.org,2023-11-26,PREMIUM
CUST0057,Renee Mcdaniel,michaeljones@example.net,2025-12-07,REGULAR
CUST0058,Lisa Alvarado,cortezkevin@example.com,2025-11-09,REGULAR
CUST0059,Erika Terry,jamesortega@example.com,2025-03-15,REGULAR
CUST0060,Stephanie Gilbert,richard04@example.com,2023-04-10,REGULAR
CUST0061,Richard Lawson,steven73@example.net,2023-12-24,REGULAR
CUST0062,Steven Flynn,donnacampbell.com,2023-12-22,REGULAR
CUST0063,Lisa Davis,emilywalker@example.org,2024-05-28,REGULAR
CUST0064,Angel Riggs,gibsonolivia@example.net,2025-11-05,REGULAR
CUST0065,Michael Snyder,dylanwatts@example.org,2026-01-28,PREMIUM
CUST0066,Colleen Brock,pwilliams@example.org,2025-01-04,REGULAR
CUST0067,Robert Contreras,stephanie79@example.net,2024-09-24,REGULAR
CUST0068,Jessica Meadows,vmerritt@example.com,2024-10-31,REGULAR
CUST0069,Paul Larsen,katie87@example.net,2026-02-06,REGULAR
CUST0070,Jeremiah Reeves,josephflores@example.net,2025-09-30,REGULAR
CUST0071,Chris Reyes,jasminebrown@example.com,2024-06-11,PREMIUM
CUST0072,John Brown,xprice@example.net,2023-10-25,REGULAR
CUST0073,Alicia Gilmore,wwoods@example.com,2024-10-17,REGULAR
CUST0074,Sarah Ashley,vmedina@example.net,2023-04-28,REGULAR
CUST0075,Stephanie Freeman,ryan06@example.com,2025-05-04,REGULAR
CUST0076,Rebecca Ramsey,ncalhoun@example.net,2025-04-19,PREMIUM
CUST0077,James Elliott,millerroy@example.com,2026-03-16,PREMIUM
CUST0078,David Murphy,wmurphy@example.com,2025-01-24,REGULAR
CUST0079,Trevor Fisher,ruizkaitlyn@example.org,2023-04-02,REGULAR
CUST0080,Mrs. Marie Harrington DDS,herringjames@,2024-02-16,PREMIUM
CUST0081,Christian Martinez,elliottjeffery@example.net,2024-03-19,REGULAR
CUST0082,Jacob Obrien,stricklandfrank@example.com,2026-05-01,REGULAR
CUST0083,Alexander Collins,tsanders@example.org,2023-08-29,REGULAR
CUST0084,Michael Burton,terrykevin@example.net,2023-04-01,REGULAR
CUST0085,Barbara Riggs,reedross@example.com,2026-03-07,REGULAR
CUST0086,Matthew Smith,gshort@example.com,2025-01-10,REGULAR
CUST0087,Madison Poole,ryangross@example.net,2023-09-02,REGULAR
CUST0088,Robert Medina,umarshall@example.net,2023-10-16,REGULAR
CUST0089,Samuel Rivas,ramirezshannon@example.com,2024-01-01,REGULAR
CUST0090,Mary Rogers,lrosales@example.com,2025-06-03,REGULAR
CUST0091,Robert Peterson,angela83@example.org,2025-08-20,REGULAR
CUST0092,Jason Peters,hannahbrewer@example.com,2025-05-28,REGULAR
CUST0093,Alan Phillips,tholt@example.net,2023-11-14,REGULAR
CUST0094,Kara Schmidt,jbarajas@example.com,2024-02-17,REGULAR
CUST0095,Jesse Parker,davidlee@example.org,2024-04-11,REGULAR
CUST0096,Tiffany Vaughn,javierwashington@example.net,2023-04-23,REGULAR
CUST0097,Paige Carlson,wallkenneth@example.com,2025-05-24,VIP
CUST0098,Adrian Ferguson,brandon08@example.com,2023-11-28,REGULAR
CUST0099,Beth Oneill,agarcia@example.net,2024-06-26,PREMIUM
CUST0100,John Peterson,kingmichelle@example.org,2024-07-28,REGULAR
CUST0101,Jennifer Jones,hernandezlisa@example.com,2025-04-23,PREMIUM
CUST0102,David Grant,yobrien@example.net,2026-06-07,REGULAR
CUST0103,Joseph Hayes,levans@,2025-10-27,REGULAR
