E-COMMERCE ANALYTICS REPORT
SQL FILE: advanced_queries.sql
================================================================================

REPORT 1
--------------------------------------------------------------------------------
region_code | order_date | daily_revenue | running_total
--------------------------------------------------------------------------------
CENTRAL | 2024-01-07 | 77196.73 | 77196.73
CENTRAL | 2024-01-09 | 151523.0 | 228719.73
CENTRAL | 2024-01-12 | 287697.6 | 516417.33
CENTRAL | 2024-01-17 | 233874.54 | 750291.87
CENTRAL | 2024-01-25 | 94633.84 | 844925.71
CENTRAL | 2024-01-29 | 398316.9 | 1243242.61
CENTRAL | 2024-02-04 | 453849.91 | 1697092.52
CENTRAL | 2024-02-15 | 326627.37 | 2023719.89
CENTRAL | 2024-02-25 | 135497.08 | 2159216.97
CENTRAL | 2024-02-27 | 126274.57 | 2285491.54
CENTRAL | 2024-02-28 | 17786.65 | 2303278.19
CENTRAL | 2024-03-01 | 204092.26 | 2507370.45
CENTRAL | 2024-03-03 | 554168.6 | 3061539.05
CENTRAL | 2024-03-04 | 2436.74 | 3063975.79
CENTRAL | 2024-03-10 | 158405.06 | 3222380.85
CENTRAL | 2024-03-21 | 6779.62 | 3229160.47
CENTRAL | 2024-03-25 | 175443.4 | 3404603.87
CENTRAL | 2024-03-27 | 199452.03 | 3604055.9
CENTRAL | 2024-03-30 | 185870.35 | 3789926.25
CENTRAL | 2024-04-13 | 88957.94 | 3878884.19
CENTRAL | 2024-04-14 | 6193.78 | 3885077.97
CENTRAL | 2024-04-20 | 9739.9 | 3894817.87
CENTRAL | 2024-04-21 | 283516.07 | 4178333.94
CENTRAL | 2024-05-03 | 239587.36 | 4417921.3
CENTRAL | 2024-05-09 | 17768.83 | 4435690.13
CENTRAL | 2024-05-10 | 87164.01 | 4522854.14
CENTRAL | 2024-05-13 | 145865.15 | 4668719.29
CENTRAL | 2024-05-15 | 206103.37 | 4874822.66
CENTRAL | 2024-05-20 | 156001.89 | 5030824.55
CENTRAL | 2024-05-21 | 89666.0 | 5120490.55
CENTRAL | 2024-05-25 | 380654.63 | 5501145.18
CENTRAL | 2024-05-26 | 176036.29 | 5677181.47
CENTRAL | 2024-05-28 | 142550.84 | 5819732.31
CENTRAL | 2024-06-03 | 204508.17 | 6024240.48
CENTRAL | 2024-06-07 | 6527.43 | 6030767.91
CENTRAL | 2024-06-10 | 132067.71 | 6162835.62
CENTRAL | 2024-06-14 | 663093.0 | 6825928.62
CENTRAL | 2024-06-15 | 200079.85 | 7026008.47
